copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
1000_1,90809,99158,0,97181,0,95438,96520,0,91753,87778,97644,94118,95946,89795,94613,98634,92457,98170,0,88777,86705,0,100248,93321
1000_3,0,86705,0,97644,97181,91753,88777,93321,92457,95946,99158,94613,94118,95438,89795,98170,0,0,98634,90809,0,96520,100248,87778
1001_1,172517,168471,0,159935,0,207671,163592,0,162542,161049,171105,0,152527,149572,164752,0,154928,157550,0,156224,151397,0,167144,153245
1001_2,163592,0,156224,159935,0,0,168471,152527,149572,0,171105,157550,0,207671,162542,151397,167144,0,0,154928,161049,153245,172517,164752
1002_1,111041,143966,0,115726,0,119468,126746,0,120688,112240,122352,124247,113393,107025,128144,117454,121435,128859,0,130568,110478,0,116515,114630
1002_2,126746,117454,130568,115726,0,124247,143966,113393,107025,0,122352,128859,0,119468,120688,110478,116515,0,0,121435,112240,114630,111041,128144
1003_1,145361,163605,0,171298,0,152992,169751,0,166773,146833,150503,161729,151724,148568,155462,167905,165644,149326,0,144278,143334,0,158072,154075
1003_2,169751,167905,144278,171298,0,161729,163605,151724,148568,0,150503,149326,0,152992,166773,143334,158072,0,0,165644,146833,154075,145361,155462
1003_3,0,143334,0,150503,171298,166773,144278,154075,165644,151724,163605,155462,161729,152992,148568,149326,0,0,167905,145361,0,169751,158072,146833
1004_2,114333,106649,102879,107304,0,115199,109037,108369,104094,113321,107890,114891,0,113670,115680,101711,112244,0,0,105923,100335,110022,111135,110656
