copy_id,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1000_1,7,18,0,17,0,12,14,0,8,2,15,16,10,4,9,0,6,11,0,3,1,0,5,13
1000_2,14,0,3,17,0,16,18,10,4,0,15,11,0,12,8,1,5,0,0,6,2,13,7,9
1001_1,5,15,0,14,0,1,8,0,0,3,7,0,16,6,12,0,13,9,0,4,2,0,10,11
1001_2,8,0,4,14,0,0,15,16,6,0,7,9,0,1,0,2,10,0,0,13,3,11,5,12
1001_3,0,2,0,7,14,0,4,11,13,16,15,12,0,1,6,9,0,0,0,5,0,8,10,3
1002_1,6,3,0,8,0,1,7,0,14,18,13,9,15,11,10,0,17,4,0,5,2,0,12,16
1002_2,7,0,5,8,0,9,3,15,11,0,13,4,0,1,14,2,12,0,0,17,18,16,6,10
1002_3,0,2,0,13,8,14,5,16,17,15,3,10,9,1,11,4,0,0,0,6,0,7,12,18
1004_1,5,11,0,8,0,16,14,0,6,1,7,17,15,4,10,0,13,9,0,3,2,0,18,12
1004_2,14,0,3,8,0,17,11,15,4,0,7,9,0,16,6,2,18,0,0,13,1,12,5,10
1005_2,9,16,18,14,0,15,3,5,4,0,7,8,0,12,11,1,6,0,0,17,2,19,10,13
1005_3,0,1,0,7,14,11,18,19,17,5,3,13,15,12,4,8,0,0,16,10,0,9,6,2
1006_2,14,0,5,12,0,0,13,9,6,0,10,15,0,1,11,2,16,0,0,7,4,17,8,3
1006_3,0,2,0,10,12,11,5,17,7,9,13,3,0,1,6,15,0,0,0,8,0,14,16,4
1007_1,7,1,0,14,0,6,18,0,17,12,3,9,8,4,11,15,10,5,0,16,2,0,19,13
1007_2,18,15,16,14,0,9,1,8,4,0,3,5,0,6,17,2,19,0,0,10,12,13,7,11
1007_3,0,2,0,3,14,17,16,13,10,8,1,11,9,6,4,5,0,0,15,7,0,18,19,12
1008_1,2,14,0,16,0,15,20,0,9,3,11,17,8,4,13,7,10,6,18,5,1,0,19,12
1008_2,20,7,5,16,0,17,14,8,4,18,11,6,0,15,9,1,19,0,0,10,3,12,2,13
1008_3,0,1,0,11,16,9,5,12,10,8,14,13,17,15,4,6,0,18,7,2,0,20,19,3
1009_1,15,9,0,10,0,11,14,0,12,8,1,16,7,2,3,0,4,13,0,17,5,0,18,6
1009_2,14,0,17,10,0,16,9,7,2,0,1,13,0,11,12,5,18,0,0,4,8,6,15,3
1009_3,0,5,0,1,10,12,17,6,4,7,9,3,16,11,2,13,0,0,0,15,0,14,18,8
100_2,12,20,6,11,0,19,10,9,1,17,4,8,0,16,14,15,18,0,0,13,2,5,3,7
100_3,0,15,0,4,11,14,6,5,13,9,10,7,19,16,1,8,0,17,20,3,0,12,18,2
1010_1,4,14,0,15,0,9,16,0,10,1,12,17,7,19,8,11,6,18,0,3,2,0,5,13
1010_3,0,2,0,12,15,10,3,13,6,7,14,8,17,9,19,18,0,0,11,4,0,16,5,1
1011_1,5,8,0,10,0,14,18,0,1,4,15,9,19,12,7,13,11,6,16,2,3,0,17,20
1011_2,18,13,2,10,0,9,8,19,12,16,15,6,0,14,1,3,17,0,0,11,4,20,5,7
1011_3,0,3,0,15,10,1,2,20,11,19,8,7,9,14,12,6,0,16,13,5,0,18,17,4
1012_1,5,15,0,18,0,9,11,0,3,2,8,20,16,14,10,13,17,7,12,4,1,0,6,19
1012_2,11,13,4,18,0,20,15,16,14,12,8,7,0,9,3,1,6,0,0,17,2,19,5,10
1012_3,0,1,0,8,18,3,4,19,17,16,15,10,20,9,14,7,0,12,13,5,0,11,6,2
1013_1,5,16,0,20,0,18,11,0,4,1,7,14,10,15,19,13,17,12,9,3,2,0,8,6
1013_2,11,13,3,20,0,14,16,10,15,9,7,12,0,18,4,2,8,0,0,17,1,6,5,19
1014_1,3,9,0,20,0,17,14,0,5,2,13,16,7,18,15,19,8,12,10,4,1,0,6,11
1014_2,14,19,4,20,0,16,9,7,18,10,13,12,0,17,5,1,6,0,0,8,2,11,3,15
1014_3,0,1,0,13,20,5,4,11,8,7,9,15,16,17,18,12,0,10,19,3,0,14,6,2
1015_1,3,9,0,17,0,15,13,0,20,2,14,12,11,16,18,19,6,5,10,4,1,0,7,8
1015_2,13,19,4,17,0,12,9,11,16,10,14,5,0,15,20,1,7,0,0,6,2,8,3,18
1015_3,0,1,0,14,17,20,4,8,6,11,9,18,12,15,16,5,0,10,19,3,0,13,7,2
1016_1,6,7,0,11,0,16,8,0,3,5,9,17,13,19,4,18,15,10,0,1,2,0,12,14
1016_2,8,18,1,11,0,17,7,13,19,0,9,10,0,16,3,2,12,0,0,15,5,14,6,4
1016_3,0,2,0,9,11,3,1,14,15,13,7,4,17,16,19,10,0,0,18,6,0,8,12,5
1017_1,4,16,0,20,0,10,14,0,3,2,12,7,17,18,11,19,13,9,15,5,1,0,8,6
1017_2,14,19,5,20,0,7,16,17,18,15,12,9,0,10,3,1,8,0,0,13,2,6,4,11
1017_3,0,1,0,12,20,3,5,6,13,17,16,11,7,10,18,9,0,15,19,4,0,14,8,2
1018_1,5,19,0,9,0,6,12,0,1,2,10,7,17,20,11,18,15,13,16,4,3,0,8,14
1018_2,12,18,4,9,0,7,19,17,20,16,10,13,0,6,1,3,8,0,0,15,2,14,5,11
1018_3,0,3,0,10,9,1,4,14,15,17,19,11,7,6,20,13,0,16,18,5,0,12,8,2
1019_2,6,0,5,3,0,10,11,9,18,0,8,1,0,13,17,2,7,0,0,4,15,16,14,12
1019_3,0,2,0,8,3,17,5,16,4,9,11,12,10,13,18,1,0,0,0,14,0,6,7,15
101_2,9,20,8,16,0,13,18,14,2,19,3,6,0,10,15,17,11,0,0,12,7,4,1,5
101_3,0,17,0,3,16,15,8,4,12,14,18,5,13,10,2,6,0,19,20,1,0,9,11,7
1020_1,8,3,0,14,0,6,10,0,15,16,12,18,11,19,5,9,13,2,0,7,1,0,4,17
1020_2,10,9,7,14,0,18,3,11,19,0,12,2,0,6,15,1,4,0,0,13,16,17,8,5
1020_3,0,1,0,12,14,15,7,17,13,11,3,5,18,6,19,2,0,0,9,8,0,10,4,16
1021_2,17,14,4,18,0,6,13,9,19,12,11,16,0,7,3,2,8,0,0,15,20,5,1,10
1021_3,0,2,0,11,18,3,4,5,15,9,13,10,6,7,19,16,0,12,14,1,0,17,8,20
1022_1,10,11,0,1,0,16,9,0,17,4,7,14,6,18,13,0,8,15,0,2,3,0,5,12
1022_2,9,0,2,1,0,14,11,6,18,0,7,15,0,16,17,3,5,0,0,8,4,12,10,13
1022_3,0,3,0,7,1,17,2,12,8,6,11,13,14,16,18,15,0,0,0,10,0,9,5,4
1023_1,17,9,0,7,0,15,12,0,1,3,11,13,20,18,5,16,10,4,8,19,2,0,14,6
1023_2,12,16,19,7,0,13,9,20,18,8,11,4,0,15,1,2,14,0,0,10,3,6,17,5
1024_1,4,14,0,8,0,11,13,0,1,5,15,7,16,18,17,19,9,12,6,3,2,0,10,20
1024_3,0,2,0,15,8,1,3,20,9,16,14,17,7,11,18,12,0,6,19,4,0,13,10,5
1025_2,17,14,1,12,0,15,7,9,18,0,16,4,0,19,6,3,2,0,0,13,10,11,5,8
1026_3,0,3,0,9,11,16,2,4,12,13,15,8,18,14,20,10,0,5,19,17,0,7,6,1
1027_1,20,11,0,14,0,13,12,0,1,5,8,7,18,16,10,17,15,9,3,2,4,0,19,6
