copy_id,driver1_y,driver2_y,driver3_y,driver4_y,driver5_y,driver6_y,driver7_y,driver8_y,driver9_y,driver10_y,driver11_y,driver12_y,driver13_y,driver14_y,driver15_y,driver16_y,driver17_y,driver18_y,driver19_y,driver20_y,driver21_y,driver22_y,driver23_y,driver24_y
1000_1,9,15,25,17,25,8,13,25,11,5,14,16,10,3,12,25,7,4,25,2,1,25,6,25
1000_2,13,25,2,17,25,16,15,10,3,25,14,4,25,8,11,1,6,25,25,7,5,25,9,12
1001_1,6,15,25,14,25,1,9,25,25,3,8,25,25,7,4,25,11,10,25,5,2,25,12,13
1001_2,9,25,5,14,25,25,15,25,7,25,8,10,25,1,25,2,12,25,25,11,3,13,6,4
1001_3,25,2,25,8,14,25,5,13,11,25,15,4,25,1,7,10,25,25,25,6,25,9,12,3
1002_1,8,5,25,9,25,2,6,25,11,16,25,10,13,4,7,25,15,3,25,25,1,25,14,12
1002_2,6,25,25,9,25,10,5,13,4,25,25,3,25,2,11,1,14,25,25,15,16,12,8,7
1002_3,25,1,25,25,9,11,25,12,15,13,5,7,10,2,4,3,25,25,25,8,25,6,14,16
1004_1,5,13,25,9,25,14,16,25,7,2,10,18,11,4,12,25,8,6,25,3,1,25,15,17
1004_2,16,25,3,9,25,18,13,11,4,25,10,6,25,14,7,1,15,25,25,8,2,17,5,12
1005_2,9,16,6,17,25,25,3,8,5,25,7,4,25,14,13,1,11,25,25,12,2,15,10,25
1005_3,25,1,25,7,17,13,6,15,12,8,3,25,25,14,5,4,25,25,16,10,25,9,11,2
1006_2,12,25,6,9,25,25,11,8,4,25,25,10,25,1,13,3,25,25,25,7,2,14,25,5
1006_3,25,3,25,25,9,13,6,14,7,8,11,5,25,1,4,10,25,25,25,25,25,12,25,2
1007_1,25,1,25,12,25,3,11,25,14,15,25,7,6,2,25,13,9,5,25,16,4,25,10,8
1007_2,11,13,16,12,25,7,1,6,2,25,25,5,25,3,14,4,10,25,25,9,15,8,25,25
1007_3,25,4,25,25,12,14,16,8,9,6,1,25,7,3,2,5,25,25,13,25,25,11,10,15
1008_1,2,25,25,15,25,17,14,25,13,5,10,11,8,3,25,7,9,4,16,6,1,25,18,12
1008_2,14,7,6,15,25,11,25,8,3,16,10,4,25,17,13,1,18,25,25,9,5,12,2,25
1008_3,25,1,25,10,15,13,6,12,9,8,25,25,11,17,3,4,25,16,7,2,25,14,18,5
1009_1,14,6,25,25,25,11,13,25,7,25,5,15,8,2,4,25,3,10,25,9,1,25,12,25
1009_2,13,25,9,25,25,15,6,8,2,25,5,10,25,11,7,1,12,25,25,3,25,25,14,4
1009_3,25,1,25,5,25,7,9,25,3,8,6,4,15,11,2,10,25,25,25,14,25,13,12,25
100_2,14,25,11,13,25,16,3,9,2,12,25,8,25,10,25,15,25,25,25,6,4,5,1,7
100_3,25,15,25,25,13,25,11,5,6,9,3,7,16,10,2,8,25,12,25,1,25,14,25,4
1010_1,3,10,25,11,25,8,15,25,12,1,13,16,25,17,7,14,6,25,25,4,2,25,5,9
1010_3,25,2,25,13,11,12,4,9,6,25,10,7,16,8,17,25,25,25,14,3,25,15,5,1
1011_1,4,12,25,11,25,7,14,25,3,2,10,6,25,16,25,15,13,25,9,5,1,25,8,25
1011_2,14,15,5,11,25,6,12,25,16,9,10,25,25,7,3,1,8,25,25,13,2,25,4,25
1011_3,25,1,25,10,11,3,5,25,13,25,12,25,6,7,16,25,25,9,15,4,25,14,8,2
1012_1,4,25,25,15,25,9,12,25,5,2,8,18,11,17,25,16,13,7,10,3,1,25,6,14
1012_2,12,16,3,15,25,18,25,11,17,10,8,7,25,9,5,1,6,25,25,13,2,14,4,25
1012_3,25,1,25,8,15,5,3,14,13,11,25,25,18,9,17,7,25,10,16,4,25,12,6,2
1013_1,4,25,25,12,25,10,9,25,5,1,6,8,25,16,14,15,13,25,11,3,2,25,25,7
1013_2,9,15,3,12,25,8,25,25,16,11,6,25,25,10,5,2,25,25,25,13,1,7,4,14
1014_1,3,9,25,16,25,14,25,25,5,2,15,25,10,18,13,17,7,12,11,4,1,25,6,8
1014_2,25,17,4,16,25,25,9,10,18,11,15,12,25,14,5,1,6,25,25,7,2,8,3,13
1014_3,25,1,25,15,16,5,4,8,7,10,9,13,25,14,18,12,25,11,17,3,25,25,6,2
1015_1,4,7,25,19,25,17,16,25,25,3,12,11,10,18,13,15,14,9,8,2,1,25,5,6
1015_2,16,15,2,19,25,11,7,10,18,8,12,9,25,17,25,1,5,25,25,14,3,6,4,13
1015_3,25,1,25,12,19,25,2,6,14,10,7,13,11,17,18,9,25,8,15,4,25,16,5,3
1016_1,5,10,25,13,25,15,9,25,3,4,12,16,14,18,7,25,17,6,25,2,1,25,8,11
1016_2,9,25,2,13,25,16,10,14,18,25,12,6,25,15,3,1,8,25,25,17,4,11,5,7
1016_3,25,1,25,12,13,3,2,11,17,14,10,7,16,15,18,6,25,25,25,5,25,9,8,4
1017_1,4,14,25,16,25,7,13,25,3,2,12,9,20,18,8,19,17,11,15,5,1,25,10,6
1017_2,13,19,5,16,25,9,14,20,18,15,12,11,25,7,3,1,10,25,25,17,2,6,4,8
1017_3,25,1,25,12,16,3,5,6,17,20,14,8,9,7,18,11,25,15,19,4,25,13,10,2
1018_1,1,17,25,10,25,9,14,25,2,3,11,6,16,20,13,18,19,12,15,4,5,25,7,8
1018_2,14,18,4,10,25,6,17,16,20,15,11,12,25,9,2,5,7,25,25,19,3,8,1,13
1018_3,25,5,25,11,10,2,4,8,19,16,17,13,6,9,20,12,25,15,18,1,25,14,7,3
1019_2,4,25,16,3,25,12,6,10,15,25,7,2,25,8,14,1,11,25,25,5,9,25,13,17
1019_3,25,1,25,7,3,14,16,25,5,10,6,17,12,8,15,2,25,25,25,13,25,4,11,9
101_2,10,17,8,7,25,15,12,13,25,16,11,6,25,3,14,25,25,25,25,9,2,5,1,4
101_3,25,25,25,11,7,14,8,5,9,13,12,4,15,3,25,6,25,16,17,1,25,10,25,2
1020_1,5,1,25,14,25,12,13,25,25,8,25,11,7,10,25,6,3,25,25,2,9,25,25,4
1020_2,13,6,2,14,25,11,1,7,10,25,25,25,25,12,25,9,25,25,25,3,8,4,5,25
1020_3,25,9,25,25,14,25,2,4,3,7,1,25,11,12,10,25,25,25,6,5,25,13,25,8
1021_2,17,16,3,18,25,9,15,25,19,10,11,14,25,7,4,1,6,25,25,13,8,5,2,12
1021_3,25,1,25,11,18,4,3,5,13,25,15,12,9,7,19,14,25,10,16,2,25,17,6,8
1022_1,10,7,25,1,25,16,9,25,15,3,6,5,13,17,8,25,12,14,25,4,2,25,11,18
1022_2,9,25,4,1,25,5,7,13,17,25,6,14,25,16,15,2,11,25,25,12,3,18,10,8
1022_3,25,2,25,6,1,15,4,18,12,13,7,8,5,16,17,14,25,25,25,10,25,9,11,3
1023_1,8,25,25,9,25,15,12,25,1,2,7,10,16,17,5,14,25,4,6,13,3,25,11,25
1023_2,12,14,13,9,25,10,25,16,17,6,7,4,25,15,1,3,11,25,25,25,2,25,8,5
1024_1,3,15,25,10,25,25,13,25,2,5,25,7,11,16,9,25,17,14,6,1,4,25,8,12
1024_3,25,4,25,25,10,2,1,12,17,11,15,9,7,25,16,14,25,6,25,3,25,13,8,5
1025_2,15,5,25,14,25,25,4,10,25,25,25,2,25,13,8,1,3,25,25,12,9,11,6,7
1026_3,25,3,25,8,14,6,2,5,15,13,10,25,11,12,17,25,25,4,16,25,25,9,7,1
1027_1,6,11,25,14,25,25,12,25,4,3,7,25,17,18,10,16,15,8,5,2,1,25,9,13
1027_2,12,16,2,14,25,25,11,17,18,5,7,8,25,25,4,1,9,25,25,15,3,13,6,10
1027_3,25,1,25,7,14,4,2,13,15,17,11,10,25,25,18,8,25,5,16,6,25,12,9,3
1028_2,14,5,15,16,25,17,3,9,25,25,6,1,25,11,7,2,4,25,25,12,18,13,8,10
1028_3,25,2,25,6,16,7,15,13,12,9,3,10,17,11,25,1,25,25,5,8,25,14,4,18
1029_2,19,12,17,5,25,8,10,13,16,14,9,6,25,4,18,7,2,25,25,11,25,3,1,15
102_1,1,2,25,25,25,3,13,25,11,5,25,25,25,25,9,14,8,10,15,6,12,25,7,4
102_2,13,14,6,25,25,25,2,25,25,15,25,10,25,3,11,12,7,25,25,8,5,4,1,9
102_3,25,12,25,25,25,11,6,4,8,25,2,9,25,3,25,10,25,15,14,1,25,13,7,5
1030_1,2,9,25,16,25,13,25,25,3,4,7,8,15,19,12,17,14,11,6,5,1,25,18,10
1030_2,25,17,5,16,25,8,9,15,19,6,7,11,25,13,3,1,18,25,25,14,4,10,2,12
1030_3,25,1,25,7,16,3,5,10,14,15,9,12,8,13,19,11,25,6,17,2,25,25,18,4
1031_1,8,5,25,7,25,25,9,25,3,12,1,25,6,10,25,13,25,25,11,25,4,25,2,25
1031_3,25,4,25,1,7,3,25,25,25,6,5,25,25,25,10,25,25,11,13,8,25,9,2,12
1032_1,7,25,25,5,25,11,15,25,4,3,12,17,8,13,2,25,9,10,25,6,1,25,16,14
1032_2,15,25,6,5,25,17,25,8,13,25,12,10,25,11,4,1,16,25,25,9,3,14,7,2
1032_3,25,1,25,12,5,4,6,14,9,8,25,2,17,11,13,10,25,25,25,7,25,15,16,3
1033_1,14,9,25,25,25,15,17,25,13,12,3,18,7,6,8,5,2,10,19,16,1,25,11,4
1033_2,17,5,16,25,25,18,9,7,6,19,3,10,25,15,13,1,11,25,25,2,12,4,14,8
1033_3,25,1,25,3,25,13,16,4,2,7,9,8,18,15,6,10,25,19,5,14,25,17,11,12
1034_3,25,1,25,25,5,8,16,7,6,4,9,11,15,17,10,2,25,25,25,14,25,3,12,13
1035_1,8,13,25,11,25,15,17,25,9,10,3,18,7,12,14,5,1,25,19,16,2,25,4,6
1035_2,17,5,16,11,25,18,13,7,12,19,3,25,25,15,9,2,4,25,25,1,10,6,8,14
1036_1,13,6,25,9,25,14,16,25,10,12,3,17,5,7,11,8,2,15,18,19,1,25,25,4
1036_2,16,8,19,9,25,17,6,5,7,18,3,15,25,14,10,1,25,25,25,2,12,4,13,11
1037_1,9,5,25,7,25,12,14,25,16,11,2,25,10,13,4,25,3,17,25,15,1,25,6,8
1037_3,25,1,25,2,7,16,15,8,3,10,5,4,25,12,13,17,25,25,25,9,25,14,6,11
1038_1,3,8,25,25,25,13,1,25,14,25,25,15,6,12,5,11,2,9,25,10,7,25,4,16
1038_2,1,11,10,25,25,15,8,6,12,25,25,9,25,13,14,7,4,25,25,2,25,16,3,5
1038_3,25,7,25,25,25,14,10,16,2,6,8,5,15,13,12,9,25,25,11,3,25,1,4,25
1039_1,11,6,25,25,25,9,25,25,25,25,2,25,5,10,4,25,8,7,25,12,1,25,25,3
1039_2,25,25,12,25,25,25,6,5,10,25,2,7,25,9,25,1,25,25,25,8,25,3,11,4
103_1,6,25,25,8,25,25,25,25,25,3,25,25,7,1,9,25,2,5,25,4,11,25,25,10
103_3,25,11,25,25,8,25,4,10,2,7,25,9,25,25,1,5,25,25,25,6,25,25,25,3
1040_1,11,7,25,15,25,14,6,25,10,8,1,16,4,13,5,25,2,12,25,17,3,25,18,9
1040_2,6,25,17,15,25,16,7,4,13,25,1,12,25,14,10,3,18,25,25,2,8,9,11,5
1040_3,25,3,25,1,15,10,17,9,2,4,7,5,16,14,13,12,25,25,25,11,25,6,18,8
1041_1,5,2,25,6,25,12,10,25,25,13,3,25,8,11,4,25,15,25,14,9,1,25,7,25
1041_2,10,25,9,6,25,25,2,8,11,14,3,25,25,12,25,1,7,25,25,15,13,25,5,4
1042_1,8,6,25,5,25,11,15,25,13,19,2,14,7,10,9,12,3,16,18,17,1,25,4,25
1042_3,25,1,25,2,5,13,17,25,3,7,6,9,14,11,10,16,25,18,12,8,25,15,4,19
1043_1,25,7,25,5,25,9,10,25,25,4,2,15,6,12,3,11,25,25,25,14,1,25,8,13
1043_2,10,11,14,5,25,15,7,6,12,25,2,25,25,9,25,1,8,25,25,25,4,13,25,3
1043_3,25,1,25,2,5,25,14,13,25,6,7,3,15,9,12,25,25,25,11,25,25,10,8,4
1044_1,11,5,25,13,25,15,25,25,8,12,14,16,2,3,10,7,6,17,25,25,1,25,4,9
1044_2,25,7,25,13,25,16,5,2,3,25,14,17,25,15,8,1,4,25,25,6,12,9,11,10
1045_1,16,9,25,4,25,15,10,25,3,2,17,14,7,13,8,25,5,11,25,18,1,25,12,6
1045_2,10,25,18,4,25,14,9,7,13,25,17,11,25,15,3,1,12,25,25,5,2,6,16,8
1045_3,25,1,25,17,4,3,18,6,5,7,9,8,14,15,13,11,25,25,25,16,25,10,12,2
1046_1,11,13,25,6,25,12,9,25,17,2,7,16,8,1,15,25,3,4,25,5,14,25,25,10
1047_1,16,10,25,5,25,12,13,25,4,6,11,17,2,14,18,19,9,1,25,7,3,25,15,8
1047_2,13,19,7,5,25,17,10,2,14,25,11,1,25,12,4,3,15,25,25,9,6,8,16,18
1047_3,25,3,25,11,5,4,7,8,9,2,10,18,17,12,14,1,25,25,19,16,25,13,15,6
104_1,2,1,25,11,25,25,13,25,25,3,10,25,12,25,6,15,8,9,25,4,14,25,7,5
104_2,13,15,4,11,25,25,1,12,25,25,10,9,25,25,25,14,7,25,25,8,3,5,2,6
104_3,25,14,25,10,11,25,4,5,8,12,1,6,25,25,25,9,25,25,15,2,25,13,7,3
1051_1,15,6,25,9,25,3,8,25,25,7,25,13,4,14,12,18,5,2,16,10,1,25,17,11
1052_1,12,10,25,4,25,25,6,25,18,8,3,9,5,11,7,16,13,2,25,15,1,25,14,17
1052_2,6,16,15,4,25,9,10,5,11,25,3,2,25,25,18,1,14,25,25,13,8,17,12,7
1052_3,25,1,25,3,4,18,15,17,13,5,10,7,9,25,11,2,25,25,16,12,25,6,14,8
1054_1,10,12,25,16,25,8,5,25,15,7,2,19,9,13,3,17,14,11,25,4,1,25,18,6
1054_2,5,17,4,16,25,19,12,9,13,25,2,11,25,8,15,1,18,25,25,14,7,6,10,3
1055_1,15,11,25,8,25,17,4,25,16,7,3,19,5,12,6,18,9,2,25,13,1,25,14,10
1055_3,25,1,25,3,8,16,13,10,9,5,11,6,19,17,12,2,25,25,18,15,25,4,14,7
1056_1,10,8,25,14,25,13,3,25,16,2,25,17,4,11,12,18,9,1,25,5,7,25,15,6
1056_2,3,18,5,14,25,17,8,4,11,25,25,1,25,13,16,7,15,25,25,9,2,6,10,12
1056_3,25,7,25,25,14,16,5,6,9,4,8,12,17,13,11,1,25,25,18,10,25,3,15,2
1057_1,3,11,25,25,25,6,5,25,7,8,12,14,1,10,9,13,25,25,25,2,15,25,16,4
1057_2,5,13,2,25,25,14,11,1,10,25,12,25,25,6,7,15,16,25,25,25,8,4,3,9
1057_3,25,15,25,12,25,7,2,4,25,1,11,9,14,6,10,25,25,25,13,3,25,5,16,8
1058_1,15,8,25,25,25,9,5,25,10,6,3,18,4,11,13,16,14,1,25,12,2,25,17,7
1058_2,5,16,12,25,25,18,8,4,11,25,3,1,25,9,10,2,17,25,25,14,6,7,15,13
1058_3,25,2,25,3,25,10,12,7,14,4,8,13,18,9,11,1,25,25,16,15,25,5,17,6
1059_1,15,10,25,5,25,8,16,25,18,11,4,13,3,17,6,20,14,1,19,9,2,25,12,7
1059_2,16,20,9,5,25,13,10,3,17,19,4,1,25,8,18,2,12,25,25,14,11,7,15,6
105_1,25,1,25,25,25,4,5,25,25,2,9,14,6,3,8,25,7,10,16,15,13,25,11,12
105_2,5,25,15,25,25,14,1,6,3,16,9,10,25,4,25,13,11,25,25,7,2,12,25,8
105_3,25,13,25,9,25,25,15,12,7,6,1,8,14,4,3,10,25,16,25,25,25,5,11,2
1060_1,9,14,25,11,25,10,3,25,12,5,2,19,6,15,7,18,13,1,25,17,4,25,16,8
1060_2,3,18,17,11,25,19,14,6,15,25,2,1,25,10,12,4,16,25,25,13,5,8,9,7
1060_3,25,4,25,2,11,12,17,8,13,6,14,7,19,10,15,1,25,25,18,9,25,3,16,5
1061_1,11,13,25,12,25,7,4,25,10,9,3,17,16,15,5,18,8,6,25,25,1,25,14,2
1061_2,4,18,25,12,25,17,13,16,15,25,3,6,25,7,10,1,14,25,25,8,9,2,11,5
1061_3,25,1,25,3,12,10,25,2,8,16,13,5,17,7,15,6,25,25,18,11,25,4,14,9
1062_1,7,8,25,25,25,4,12,25,25,13,3,25,11,10,9,25,5,1,25,25,2,25,25,6
1062_2,12,25,25,25,25,25,8,11,10,25,3,1,25,4,25,2,25,25,25,5,13,6,7,9
1062_3,25,2,25,3,25,25,25,6,5,11,8,9,25,4,10,1,25,25,25,7,25,12,25,13
1064_2,5,25,13,10,25,25,12,8,15,18,3,1,25,6,16,2,17,25,25,9,7,4,14,11
1065_2,2,25,12,9,25,15,7,5,14,25,3,25,25,8,25,25,11,25,25,10,6,4,13,1
1065_3,25,25,25,3,9,25,12,4,10,5,7,1,15,8,14,25,25,25,25,13,25,2,11,6
1066_1,16,11,25,7,25,6,15,25,19,3,5,17,9,8,4,18,14,2,25,12,1,25,10,13
1066_2,15,18,12,7,25,17,11,9,8,25,5,2,25,6,19,1,10,25,25,14,3,13,16,4
1066_3,25,1,25,5,7,19,12,13,14,9,11,4,17,6,8,2,25,25,18,16,25,15,10,3
1067_1,11,9,25,7,25,16,4,25,17,8,1,14,3,12,13,20,10,2,19,18,5,25,15,6
1067_2,4,20,18,7,25,14,9,3,12,19,1,2,25,16,17,5,15,25,25,10,8,6,11,13
1067_3,25,5,25,1,7,17,18,6,10,3,9,13,14,16,12,2,25,19,20,11,25,4,15,8
1069_2,4,17,10,8,25,9,12,3,13,16,6,1,25,25,15,2,14,25,25,25,7,25,11,5
1069_3,25,2,25,6,8,15,10,25,25,3,12,5,9,25,13,1,25,16,17,11,25,4,14,7
106_1,25,8,25,7,25,5,1,25,10,25,25,14,4,6,9,16,3,11,25,15,13,25,12,2
106_2,1,16,15,7,25,14,8,4,6,25,25,11,25,5,10,13,12,25,25,3,25,2,25,9
106_3,25,13,25,25,7,10,15,2,3,4,8,9,14,5,6,11,25,25,16,25,25,1,12,25
1070_1,11,14,25,10,25,9,5,25,17,6,15,18,3,8,12,25,13,1,25,7,2,25,16,4
1070_2,5,25,7,10,25,18,14,3,8,25,15,1,25,9,17,2,16,25,25,13,6,4,11,12
1070_3,25,2,25,15,10,17,7,4,13,3,14,12,18,9,8,1,25,25,25,11,25,5,16,6
1071_1,14,25,25,10,25,9,5,25,16,6,3,15,4,12,25,17,8,2,18,11,1,25,13,7
1071_2,5,17,11,10,25,15,25,4,12,18,3,2,25,9,16,1,13,25,25,8,6,7,14,25
1071_3,25,1,25,3,10,16,11,7,8,4,25,25,15,9,12,2,25,18,17,14,25,5,13,6
1072_1,9,11,25,10,25,13,7,25,12,8,3,14,25,15,5,25,4,2,25,25,1,25,25,6
1072_2,7,25,25,10,25,14,11,25,15,25,3,2,25,13,12,1,25,25,25,4,8,6,9,5
1073_1,25,13,25,7,25,8,10,25,25,3,6,4,15,25,12,14,9,1,25,11,2,25,25,5
1073_2,10,14,11,7,25,4,13,15,25,25,6,1,25,8,25,2,25,25,25,9,3,5,25,12
1073_3,25,2,25,6,7,25,11,5,9,15,13,12,4,8,25,1,25,25,14,25,25,10,25,3
1074_1,25,12,25,4,25,9,15,25,16,2,5,8,14,17,6,11,7,19,10,18,3,25,13,1
1074_2,15,11,18,4,25,8,12,14,17,10,5,19,25,9,16,3,13,25,25,7,2,1,25,6
1074_3,25,3,25,5,4,16,18,1,7,14,12,6,8,9,17,19,25,10,11,25,25,15,13,2
1075_1,8,13,25,5,25,25,7,25,25,3,9,11,25,12,25,25,6,1,25,4,10,25,14,2
1075_2,7,25,4,5,25,11,13,25,12,25,9,1,25,25,25,10,14,25,25,6,3,2,8,25
1075_3,25,10,25,9,5,25,4,2,6,25,13,25,11,25,12,1,25,25,25,8,25,7,14,3
1076_1,1,9,25,10,25,17,3,25,15,7,14,13,6,25,8,11,12,25,25,2,4,25,16,5
1076_2,3,11,2,10,25,13,9,6,25,25,14,25,25,17,15,4,16,25,25,12,7,5,1,8
1076_3,25,4,25,14,10,15,2,5,12,6,9,8,13,17,25,25,25,25,11,1,25,3,16,7
1077_2,11,25,18,16,25,15,6,5,2,25,1,14,25,8,17,13,7,25,25,12,10,4,3,9
1077_3,25,13,25,1,16,17,18,4,12,5,6,9,15,8,2,14,25,25,25,3,25,11,7,10
1078_1,25,10,25,5,25,11,25,25,14,3,16,12,13,17,7,15,8,1,25,4,6,25,9,2
1078_3,25,6,25,16,5,14,4,2,8,13,10,7,12,11,17,1,25,25,15,25,25,25,9,3
1079_1,13,15,25,3,25,9,8,25,16,4,17,10,12,11,6,14,7,1,25,2,5,25,18,25
1079_2,8,14,2,3,25,10,15,12,11,25,17,1,25,9,16,5,18,25,25,7,4,25,13,6
1079_3,25,5,25,17,3,16,2,25,7,12,15,6,10,9,11,1,25,25,14,13,25,8,18,4
107_1,5,3,25,14,25,4,1,25,13,25,11,17,6,2,8,16,9,12,25,15,25,25,10,7
107_2,1,16,15,14,25,17,3,6,2,25,11,12,25,4,13,25,10,25,25,9,25,7,5,8
107_3,25,25,25,11,14,13,15,7,9,6,3,8,17,4,2,12,25,25,16,5,25,1,10,25
1080_1,11,14,25,5,25,7,6,25,15,2,25,17,13,10,9,25,12,3,16,1,8,25,25,4
1080_2,6,25,1,5,25,17,14,13,10,16,25,3,25,7,15,8,25,25,25,12,2,4,11,9
1080_3,25,8,25,25,5,15,1,4,12,13,14,9,17,7,10,3,25,16,25,11,25,6,25,2
1081_1,25,5,25,12,25,7,3,25,13,10,25,14,8,6,11,25,16,1,25,2,4,25,15,9
1081_2,3,25,2,12,25,14,5,8,6,25,25,1,25,7,13,4,15,25,25,16,10,9,25,11
1081_3,25,4,25,25,12,13,2,9,16,8,5,11,14,7,6,1,25,25,25,25,25,3,15,10
1082_3,25,3,25,1,13,25,11,15,10,7,14,17,25,9,12,2,25,25,8,5,25,4,16,6
1083_1,25,11,25,12,25,5,6,25,8,1,10,25,13,9,25,25,25,7,25,2,3,25,14,4
1083_2,6,25,2,12,25,25,11,13,9,25,10,7,25,5,8,3,14,25,25,25,1,4,25,25
1083_3,25,3,25,10,12,8,2,4,25,13,11,25,25,5,9,7,25,25,25,25,25,6,14,1
1084_1,15,13,25,4,25,10,7,25,25,25,8,16,9,17,11,6,5,2,14,25,3,25,12,1
1084_2,7,6,25,4,25,16,13,9,17,14,8,2,25,10,25,3,12,25,25,5,25,1,15,11
1084_3,25,3,25,8,4,25,25,1,5,9,13,11,16,10,17,2,25,14,6,15,25,7,12,25
1085_1,12,10,25,3,25,6,7,25,25,5,25,25,9,11,14,15,8,1,16,4,2,25,13,25
1085_2,7,15,4,3,25,25,10,9,11,16,25,1,25,6,25,2,13,25,25,8,5,25,12,14
1085_3,25,2,25,25,3,25,4,25,8,9,10,14,25,6,11,1,25,16,15,12,25,7,13,5
1086_2,7,14,5,3,25,19,11,15,10,13,16,1,25,8,18,2,17,25,25,9,4,6,12,20
1086_3,25,2,25,16,3,18,5,6,9,15,11,20,19,8,10,1,25,13,14,12,25,7,17,4
1087_3,25,5,25,3,18,17,15,4,9,16,6,1,14,8,2,7,25,25,25,12,25,10,13,11
1088_1,11,10,25,2,25,6,7,25,18,8,15,25,17,14,25,13,9,1,16,5,4,25,12,3
1088_2,7,13,5,2,25,25,10,17,14,16,15,1,25,6,18,4,12,25,25,9,8,3,11,25
1088_3,25,4,25,15,2,18,5,3,9,17,10,25,25,6,14,1,25,16,13,11,25,7,12,8
1089_1,8,25,25,3,25,25,7,25,14,4,16,12,25,25,13,10,11,1,9,6,5,25,15,2
