copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01,driver1_lap_02,driver2_lap_02,driver3_lap_02,driver4_lap_02,driver5_lap_02,driver6_lap_02,driver7_lap_02,driver8_lap_02,driver9_lap_02,driver10_lap_02,driver11_lap_02,driver12_lap_02,driver13_lap_02,driver14_lap_02,driver15_lap_02,driver16_lap_02,driver17_lap_02,driver18_lap_02,driver19_lap_02,driver20_lap_02,driver21_lap_02,driver22_lap_02,driver23_lap_02,driver24_lap_02,driver1_lap_03,driver2_lap_03,driver3_lap_03,driver4_lap_03,driver5_lap_03,driver6_lap_03,driver7_lap_03,driver8_lap_03,driver9_lap_03,driver10_lap_03,driver11_lap_03,driver12_lap_03,driver13_lap_03,driver14_lap_03,driver15_lap_03,driver16_lap_03,driver17_lap_03,driver18_lap_03,driver19_lap_03,driver20_lap_03,driver21_lap_03,driver22_lap_03,driver23_lap_03,driver24_lap_03,driver1_lap_04,driver2_lap_04,driver3_lap_04,driver4_lap_04,driver5_lap_04,driver6_lap_04,driver7_lap_04,driver8_lap_04,driver9_lap_04,driver10_lap_04,driver11_lap_04,driver12_lap_04,driver13_lap_04,driver14_lap_04,driver15_lap_04,driver16_lap_04,driver17_lap_04,driver18_lap_04,driver19_lap_04,driver20_lap_04,driver21_lap_04,driver22_lap_04,driver23_lap_04,driver24_lap_04,driver1_lap_05,driver2_lap_05,driver3_lap_05,driver4_lap_05,driver5_lap_05,driver6_lap_05,driver7_lap_05,driver8_lap_05,driver9_lap_05,driver10_lap_05,driver11_lap_05,driver12_lap_05,driver13_lap_05,driver14_lap_05,driver15_lap_05,driver16_lap_05,driver17_lap_05,driver18_lap_05,driver19_lap_05,driver20_lap_05,driver21_lap_05,driver22_lap_05,driver23_lap_05,driver24_lap_05,driver1_lap_06,driver2_lap_06,driver3_lap_06,driver4_lap_06,driver5_lap_06,driver6_lap_06,driver7_lap_06,driver8_lap_06,driver9_lap_06,driver10_lap_06,driver11_lap_06,driver12_lap_06,driver13_lap_06,driver14_lap_06,driver15_lap_06,driver16_lap_06,driver17_lap_06,driver18_lap_06,driver19_lap_06,driver20_lap_06,driver21_lap_06,driver22_lap_06,driver23_lap_06,driver24_lap_06,driver1_lap_07,driver2_lap_07,driver3_lap_07,driver4_lap_07,driver5_lap_07,driver6_lap_07,driver7_lap_07,driver8_lap_07,driver9_lap_07,driver10_lap_07,driver11_lap_07,driver12_lap_07,driver13_lap_07,driver14_lap_07,driver15_lap_07,driver16_lap_07,driver17_lap_07,driver18_lap_07,driver19_lap_07,driver20_lap_07,driver21_lap_07,driver22_lap_07,driver23_lap_07,driver24_lap_07,driver1_lap_08,driver2_lap_08,driver3_lap_08,driver4_lap_08,driver5_lap_08,driver6_lap_08,driver7_lap_08,driver8_lap_08,driver9_lap_08,driver10_lap_08,driver11_lap_08,driver12_lap_08,driver13_lap_08,driver14_lap_08,driver15_lap_08,driver16_lap_08,driver17_lap_08,driver18_lap_08,driver19_lap_08,driver20_lap_08,driver21_lap_08,driver22_lap_08,driver23_lap_08,driver24_lap_08,driver1_lap_09,driver2_lap_09,driver3_lap_09,driver4_lap_09,driver5_lap_09,driver6_lap_09,driver7_lap_09,driver8_lap_09,driver9_lap_09,driver10_lap_09,driver11_lap_09,driver12_lap_09,driver13_lap_09,driver14_lap_09,driver15_lap_09,driver16_lap_09,driver17_lap_09,driver18_lap_09,driver19_lap_09,driver20_lap_09,driver21_lap_09,driver22_lap_09,driver23_lap_09,driver24_lap_09,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1000_1,90809,99158,0,97181,0,95438,96520,0,91753,87778,97644,94118,95946,89795,94613,98634,92457,98170,0,88777,86705,0,100248,93321,84621,88068,0,87796,0,87359,87599,0,85662,83788,87807,86597,87447,84055,86727,88016,86151,87650,0,84222,83184,0,88049,86480,84485,88125,0,87147,0,86686,86967,0,85128,83455,88008,86332,86907,84161,86672,87942,85914,86612,0,83482,82893,0,87949,86336,84159,86975,0,87296,0,86470,86737,0,84880,83869,86969,86095,86530,83925,86393,86899,85505,85779,0,83879,82951,0,87530,85863,83985,87069,0,86650,0,86905,86708,0,84742,84080,86158,85894,86706,84026,85703,86795,85117,86692,0,84041,83643,0,86809,85753,0,101139,0,98739,0,97644,98714,0,92283,88724,99474,95270,97709,91093,96432,98856,93281,97472,0,89405,87374,0,99897,94839,0,104012,0,90179,0,91981,90746,0,93230,95017,89261,91136,89544,92887,90794,89338,92847,90637,0,94466,96189,0,87984,91103,0,84823,0,86358,0,85680,86145,0,83917,83593,86613,85391,85011,83161,85354,87227,84927,85607,0,83718,83317,0,86753,85271,0,84921,0,85863,0,86263,85713,0,83911,83456,85999,85132,84949,84189,84955,86578,84902,83159,0,84050,83567,0,86685,85270,0,85161,0,86049,0,86067,86084,0,83990,83855,86040,85193,84581,83663,85362,86342,85077,84078,0,83470,83264,0,86472,85218
1000_3,0,86705,0,97644,97181,91753,88777,93321,92457,95946,99158,94613,94118,95438,89795,98170,0,0,98634,90809,0,96520,100248,87778,0,83184,0,87807,87796,85662,84222,86480,86151,87447,88068,86727,86597,87359,84055,87650,0,0,88016,84621,0,87599,88049,83788,0,82893,0,88008,87147,85128,83482,86336,85914,86907,88125,86672,86332,86686,84161,86612,0,0,87942,84485,0,86967,87949,83455,0,82951,0,86969,87296,84880,83879,85863,85505,86530,86975,86393,86095,86470,83925,85779,0,0,86899,84159,0,86737,87530,83869,0,83643,0,86158,86650,84742,84041,85753,85117,86706,87069,85703,85894,86905,84026,86692,0,0,86795,83985,0,86708,86809,84080,0,87374,0,99474,98739,92283,89405,94839,93281,97709,101139,96432,95270,97644,91093,97472,0,0,98856,0,0,98714,99897,88724,0,96189,0,89261,90179,93230,94466,91103,92847,89544,104012,90794,91136,91981,92887,90637,0,0,89338,0,0,90746,87984,95017,0,83317,0,86613,86358,83917,83718,85271,84927,85011,84823,85354,85391,85680,83161,85607,0,0,87227,0,0,86145,86753,83593,0,83567,0,85999,85863,83911,84050,85270,84902,84949,84921,84955,85132,86263,84189,83159,0,0,86578,0,0,85713,86685,83456,0,83264,0,86040,86049,83990,83470,85218,85077,84581,85161,85362,85193,86067,83663,84078,0,0,86342,0,0,86084,86472,83855
1001_1,172517,168471,0,159935,0,207671,163592,0,162542,161049,171105,0,152527,149572,164752,0,154928,157550,0,156224,151397,0,167144,153245,179683,178158,0,179739,0,144008,179634,0,179551,179994,180223,0,179990,180051,524604,0,180335,180342,0,180468,180018,0,178161,180424,168187,170661,0,169094,0,167203,169807,0,170082,170041,171296,0,171075,171059,113818,0,170364,169928,0,170008,170726,0,170744,171130,168188,170282,0,176747,0,169411,173848,0,174486,175129,166129,0,179709,181499,113982,0,178620,177322,0,177872,180659,0,171434,178955,116000,114514,0,113513,0,115376,114092,0,113109,113960,113789,0,111257,108656,112627,0,112189,113366,0,113036,109718,0,114076,111951,114695,113367,0,112869,0,114320,113723,0,113601,113691,114223,0,111088,108923,113142,0,111619,112386,0,112184,109497,0,115067,111736,115481,112928,0,112240,0,122327,112748,0,113385,111231,112287,0,110924,108695,112540,0,110140,112503,0,111718,109020,0,114865,112679,113370,113182,0,112186,0,152947,113039,0,112627,112196,113164,0,110670,108646,111204,0,109993,112057,0,111439,108834,0,112764,111224,112810,113535,0,112421,0,0,112224,0,112140,112210,111763,0,110760,109046,111677,0,110445,112055,0,111473,109143,0,113028,111016,112639,113191,0,111866,0,0,111976,0,112031,111923,111548,0,111534,108749,110547,0,108932,111421,0,111152,109179,0,112798,111054
1001_2,163592,0,156224,159935,0,0,168471,152527,149572,0,171105,157550,0,207671,162542,151397,167144,0,0,154928,161049,153245,172517,164752,179634,0,180468,179739,0,0,178158,179990,180051,0,180223,180342,0,144008,179551,180018,178161,0,0,180335,179994,180424,179683,524604,169807,0,170008,169094,0,0,170661,171075,171059,0,171296,169928,0,167203,170082,170726,170744,0,0,170364,170041,171130,168187,113818,173848,0,177872,176747,0,0,170282,179709,181499,0,166129,177322,0,169411,174486,180659,171434,0,0,178620,175129,178955,168188,113982,114092,0,113036,113513,0,0,114514,111257,108656,0,113789,113366,0,115376,113109,109718,114076,0,0,112189,113960,111951,116000,112627,113723,0,112184,112869,0,0,113367,111088,108923,0,114223,112386,0,114320,113601,109497,115067,0,0,111619,113691,111736,114695,113142,112748,0,111718,112240,0,0,112928,110924,108695,0,112287,112503,0,122327,113385,109020,114865,0,0,110140,111231,112679,115481,112540,113039,0,111439,112186,0,0,113182,110670,108646,0,113164,112057,0,152947,112627,108834,112764,0,0,109993,112196,111224,113370,111204,112224,0,111473,112421,0,0,113535,110760,109046,0,111763,112055,0,0,112140,109143,113028,0,0,110445,112210,111016,112810,111677,111976,0,111152,111866,0,0,113191,111534,108749,0,111548,111421,0,0,112031,109179,112798,0,0,108932,111923,111054,112639,110547
1002_1,111041,143966,0,115726,0,119468,126746,0,120688,112240,122352,124247,113393,107025,128144,117454,121435,128859,0,130568,110478,0,116515,114630,136204,128119,0,137300,0,137507,138314,0,137371,137044,138145,138357,137281,137567,138181,137479,137918,138448,0,137828,135751,0,138021,137249,127530,116316,0,123928,0,121731,118785,0,121011,126167,120366,120528,125602,129263,118295,122900,120736,118235,0,119157,127904,0,122718,124452,86555,87089,0,87876,0,88817,87761,0,89166,86776,87999,87415,87285,85439,87040,88099,96469,86824,0,85442,86009,0,88269,87748,85615,86981,0,86967,0,87095,89445,0,87245,85763,86712,86579,86163,84871,86843,87234,122479,86771,0,86672,85027,0,87012,86379,85475,86881,0,86198,0,87009,86808,0,87275,85538,86526,86556,86251,84859,87977,86800,87155,85598,0,86288,84827,0,86430,86288,85116,87068,0,86151,0,88291,86851,0,88096,84981,88130,87222,85981,84538,87006,86539,87942,86484,0,85975,84751,0,86346,86275,84976,87066,0,86071,0,87534,87104,0,87990,85070,85642,87467,85982,84631,87362,86509,87028,88186,0,87526,84557,0,86684,86019,85145,87119,0,86046,0,105377,87809,0,86915,85163,85514,89165,85955,84500,87891,86537,88106,88696,0,86853,84349,0,86437,86265,85040,87234,0,86076,0,0,87347,0,87492,85176,85635,88021,86249,84686,87166,86261,87163,85767,0,85463,84918,0,86310,86272
1002_2,126746,117454,130568,115726,0,124247,143966,113393,107025,0,122352,128859,0,119468,120688,110478,116515,0,0,121435,112240,114630,111041,128144,138314,137479,137828,137300,0,138357,128119,137281,137567,0,138145,138448,0,137507,137371,135751,138021,0,0,137918,137044,137249,136204,138181,118785,122900,119157,123928,0,120528,116316,125602,129263,0,120366,118235,0,121731,121011,127904,122718,0,0,120736,126167,124452,127530,118295,87761,88099,85442,87876,0,87415,87089,87285,85439,0,87999,86824,0,88817,89166,86009,88269,0,0,96469,86776,87748,86555,87040,89445,87234,86672,86967,0,86579,86981,86163,84871,0,86712,86771,0,87095,87245,85027,87012,0,0,122479,85763,86379,85615,86843,86808,86800,86288,86198,0,86556,86881,86251,84859,0,86526,85598,0,87009,87275,84827,86430,0,0,87155,85538,86288,85475,87977,86851,86539,85975,86151,0,87222,87068,85981,84538,0,88130,86484,0,88291,88096,84751,86346,0,0,87942,84981,86275,85116,87006,87104,86509,87526,86071,0,87467,87066,85982,84631,0,85642,88186,0,87534,87990,84557,86684,0,0,87028,85070,86019,84976,87362,87809,86537,86853,86046,0,89165,87119,85955,84500,0,85514,88696,0,105377,86915,84349,86437,0,0,88106,85163,86265,85145,87891,87347,86261,85463,86076,0,88021,87234,86249,84686,0,85635,85767,0,0,87492,84918,86310,0,0,87163,85176,86272,85040,87166
1003_1,145361,163605,0,171298,0,152992,169751,0,166773,146833,150503,161729,151724,148568,155462,167905,165644,149326,0,144278,143334,0,158072,154075,168840,164965,0,164852,0,167277,164799,0,165293,168394,167349,165443,167454,167593,167216,165374,163962,167786,0,168264,166810,0,167217,167777,158146,162208,0,163136,0,161091,162133,0,161654,158916,160590,160338,160465,159219,162071,169650,162436,160668,0,159086,159186,0,161204,160589,163709,153403,0,147976,0,159852,149971,0,152023,162536,161245,156109,160919,161933,157963,144950,152703,160397,0,163639,165079,0,156721,159630,108360,111588,0,111767,0,110255,111556,0,111553,108477,108673,111484,109355,108817,111024,111949,111813,109039,0,108305,108052,0,111186,110637,108359,110943,0,111380,0,109733,111187,0,111150,108699,108963,111002,109120,108816,110904,111332,110974,108804,0,108471,108563,0,110994,110337,107717,110033,0,111065,0,109194,110543,0,110199,107909,108388,110030,108934,107999,110054,111603,110318,108095,0,107397,107519,0,110018,109504,107186,109884,0,110309,0,108811,110103,0,109755,107399,107968,109733,108623,107736,109173,111133,110004,108223,0,107258,106746,0,109401,109200,107348,109574,0,110277,0,108743,110030,0,110273,107307,108002,109371,109220,107375,109188,110045,109933,107778,0,107427,107592,0,109377,108924,107706,110085,0,110058,0,108997,109710,0,109616,107814,108145,109383,109010,107479,109159,110146,109966,107826,0,107627,107557,0,109143,108878
1003_2,169751,167905,144278,171298,0,161729,163605,151724,148568,0,150503,149326,0,152992,166773,143334,158072,0,0,165644,146833,154075,145361,155462,164799,165374,168264,164852,0,165443,164965,167454,167593,0,167349,167786,0,167277,165293,166810,167217,0,0,163962,168394,167777,168840,167216,162133,169650,159086,163136,0,160338,162208,160465,159219,0,160590,160668,0,161091,161654,159186,161204,0,0,162436,158916,160589,158146,162071,149971,144950,163639,147976,0,156109,153403,160919,161933,0,161245,160397,0,159852,152023,165079,156721,0,0,152703,162536,159630,163709,157963,111556,111949,108305,111767,0,111484,111588,109355,108817,0,108673,109039,0,110255,111553,108052,111186,0,0,111813,108477,110637,108360,111024,111187,111332,108471,111380,0,111002,110943,109120,108816,0,108963,108804,0,109733,111150,108563,110994,0,0,110974,108699,110337,108359,110904,110543,111603,107397,111065,0,110030,110033,108934,107999,0,108388,108095,0,109194,110199,107519,110018,0,0,110318,107909,109504,107717,110054,110103,111133,107258,110309,0,109733,109884,108623,107736,0,107968,108223,0,108811,109755,106746,109401,0,0,110004,107399,109200,107186,109173,110030,110045,107427,110277,0,109371,109574,109220,107375,0,108002,107778,0,108743,110273,107592,109377,0,0,109933,107307,108924,107348,109188,109710,110146,107627,110058,0,109383,110085,109010,107479,0,108145,107826,0,108997,109616,107557,109143,0,0,109966,107814,108878,107706,109159
1003_3,0,143334,0,150503,171298,166773,144278,154075,165644,151724,163605,155462,161729,152992,148568,149326,0,0,167905,145361,0,169751,158072,146833,0,166810,0,167349,164852,165293,168264,167777,163962,167454,164965,167216,165443,167277,167593,167786,0,0,165374,168840,0,164799,167217,168394,0,159186,0,160590,163136,161654,159086,160589,162436,160465,162208,162071,160338,161091,159219,160668,0,0,169650,158146,0,162133,161204,158916,0,165079,0,161245,147976,152023,163639,159630,152703,160919,153403,157963,156109,159852,161933,160397,0,0,144950,163709,0,149971,156721,162536,0,108052,0,108673,111767,111553,108305,110637,111813,109355,111588,111024,111484,110255,108817,109039,0,0,111949,108360,0,111556,111186,108477,0,108563,0,108963,111380,111150,108471,110337,110974,109120,110943,110904,111002,109733,108816,108804,0,0,111332,108359,0,111187,110994,108699,0,107519,0,108388,111065,110199,107397,109504,110318,108934,110033,110054,110030,109194,107999,108095,0,0,111603,107717,0,110543,110018,107909,0,106746,0,107968,110309,109755,107258,109200,110004,108623,109884,109173,109733,108811,107736,108223,0,0,111133,107186,0,110103,109401,107399,0,107592,0,108002,110277,110273,107427,108924,109933,109220,109574,109188,109371,108743,107375,107778,0,0,110045,107348,0,110030,109377,107307,0,107557,0,108145,110058,109616,107627,108878,109966,109010,110085,109159,109383,108997,107479,107826,0,0,110146,107706,0,109710,109143,107814
1004_2,114333,106649,102879,107304,0,115199,109037,108369,104094,113321,107890,114891,0,113670,115680,101711,112244,0,0,105923,100335,110022,111135,110656,105885,102210,100317,103928,0,105852,104518,104614,100972,104593,104146,103473,0,105694,105883,100132,104323,0,0,104252,100109,104804,102825,104783,104493,101845,100119,102179,0,108294,103938,103912,100357,105160,102362,101298,0,104562,104071,99916,104741,0,0,101658,99849,103522,101713,103588,104659,101777,100122,102458,0,172468,102663,102659,100210,104247,103494,102514,0,104369,135482,99770,104505,0,0,102183,99941,103098,101156,104085,104620,101502,100096,103066,0,0,103039,102889,100244,104576,102552,102594,0,109256,0,100126,104786,0,0,102540,100009,104666,100795,103570,104525,102553,100005,102529,0,0,102653,102777,100148,105775,102657,102105,0,122090,0,99744,106054,0,0,104028,99517,104703,101017,102089,105241,102789,100035,102894,0,0,103764,103871,100009,108276,102987,103127,0,101819,0,99656,112775,0,0,102790,99924,103279,101160,102841,106392,103187,99546,102832,0,0,103465,112436,100246,107737,102700,103587,0,102533,0,99829,121404,0,0,103070,99962,103521,99598,104199,105428,102204,99907,103290,0,0,104748,122300,100252,107205,102712,100984,0,102311,0,100226,101984,0,0,107526,100416,103237,100384,102549,105271,105660,100349,104816,0,0,104273,102215,100243,111949,101509,100773,0,102555,0,100349,102409,0,0,119929,100085,103064,100010,101645
