copy_id,driver1_lap_02,driver2_lap_02,driver3_lap_02,driver4_lap_02,driver5_lap_02,driver6_lap_02,driver7_lap_02,driver8_lap_02,driver9_lap_02,driver10_lap_02,driver11_lap_02,driver12_lap_02,driver13_lap_02,driver14_lap_02,driver15_lap_02,driver16_lap_02,driver17_lap_02,driver18_lap_02,driver19_lap_02,driver20_lap_02,driver21_lap_02,driver22_lap_02,driver23_lap_02,driver24_lap_02
1001_1,16,13,0,8,0,15,11,0,10,9,14,0,3,1,17,0,5,7,0,6,2,0,12,4
1002_1,3,19,0,7,0,10,15,0,11,4,13,14,5,1,16,9,12,17,0,18,2,0,8,6
1003_1,3,14,0,19,0,9,18,0,16,4,7,13,8,5,11,17,15,6,0,2,1,0,12,10
1004_1,11,10,0,7,0,17,18,0,20,1,8,19,9,4,13,5,6,16,15,3,2,0,14,12
1005_1,3,17,0,9,0,14,19,0,7,2,8,10,6,5,15,13,20,11,18,4,1,0,16,12
1006_1,6,9,0,18,0,1,7,0,12,10,4,17,5,13,8,11,16,3,0,19,2,0,15,14
1007_1,1,10,0,20,0,12,17,0,16,5,11,19,18,6,8,9,14,3,15,4,2,0,13,7
1009_1,11,9,0,15,0,14,8,0,19,16,6,5,7,4,10,18,12,2,0,3,1,0,13,17
100_1,4,2,0,12,0,13,15,0,14,3,5,19,10,1,6,20,16,9,11,7,17,0,18,8
1011_1,5,15,0,16,0,8,19,0,2,4,10,13,20,17,11,18,7,9,14,1,3,0,12,6
1012_1,5,16,0,14,0,12,13,0,3,2,8,20,10,17,9,15,11,7,18,4,1,0,6,19
1013_1,5,7,0,15,0,17,11,0,10,1,4,6,16,20,14,18,13,9,12,3,2,0,19,8
1014_1,3,9,0,15,0,20,14,0,5,2,13,16,7,18,17,19,8,12,10,4,1,0,6,11
1016_1,9,10,0,13,0,16,14,0,3,7,12,8,18,17,6,15,19,4,20,1,2,0,5,11
1017_1,4,20,0,9,0,11,15,0,3,2,13,6,18,17,12,19,14,10,16,7,1,0,8,5
1018_1,7,19,0,9,0,4,13,0,1,2,11,5,15,17,12,20,10,14,18,6,3,0,8,16
1019_1,4,16,0,13,0,12,15,0,3,1,14,7,19,18,9,17,20,8,10,5,2,0,6,11
101_1,1,20,0,8,0,3,10,0,18,11,4,14,15,2,5,19,13,6,17,9,16,0,12,7
