copy_id,driver1_y,driver2_y,driver3_y,driver4_y,driver5_y,driver6_y,driver7_y,driver8_y,driver9_y,driver10_y,driver11_y,driver12_y,driver13_y,driver14_y,driver15_y,driver16_y,driver17_y,driver18_y,driver19_y,driver20_y,driver21_y,driver22_y,driver23_y,driver24_y
1001_1,15,11,25,9,25,25,13,25,12,10,4,25,5,1,25,25,3,8,25,7,2,25,14,6
1002_1,5,15,25,6,25,25,12,25,14,3,7,11,25,2,13,10,16,25,25,4,1,25,9,8
1003_1,2,11,25,14,25,7,12,25,17,4,16,9,15,5,10,19,18,6,25,3,1,25,13,8
1004_1,5,13,25,9,25,14,16,25,7,2,10,18,11,4,12,25,8,6,25,3,1,25,15,17
1005_1,3,12,25,9,25,14,15,25,11,2,7,13,8,5,25,25,25,4,16,6,1,25,17,10
1006_1,11,7,25,12,25,1,14,25,25,10,5,13,8,4,25,25,2,25,25,6,3,25,9,25
1007_1,25,1,25,12,25,3,11,25,14,15,25,7,6,2,25,13,9,5,25,16,4,25,10,8
1009_1,14,6,25,25,25,11,13,25,7,25,5,15,8,2,4,25,3,10,25,9,1,25,12,25
100_1,1,3,25,13,25,10,14,25,25,4,25,16,9,2,7,25,6,8,12,11,15,25,25,5
1011_1,4,12,25,11,25,7,14,25,3,2,10,6,25,16,25,15,13,25,9,5,1,25,8,25
1012_1,4,25,25,15,25,9,12,25,5,2,8,18,11,17,25,16,13,7,10,3,1,25,6,14
1013_1,4,25,25,12,25,10,9,25,5,1,6,8,25,16,14,15,13,25,11,3,2,25,25,7
1014_1,3,9,25,16,25,14,25,25,5,2,15,25,10,18,13,17,7,12,11,4,1,25,6,8
1016_1,5,10,25,13,25,15,9,25,3,4,12,25,14,18,7,16,17,6,25,2,1,25,8,11
1017_1,4,14,25,16,25,7,13,25,3,2,12,9,20,18,8,19,17,11,15,5,1,25,10,6
1018_1,1,17,25,10,25,9,14,25,2,3,11,6,16,20,13,18,19,12,15,4,5,25,7,8
1019_1,6,5,25,4,25,8,25,25,11,2,17,14,25,15,10,12,9,7,25,16,1,25,3,13
101_1,1,12,25,7,25,3,10,25,14,2,11,15,13,25,4,17,9,6,16,8,25,25,25,5
